Tanggal,Nama Komoditas,Harga Aktual
2026-06-25,Bawang Merah,34500.0
2026-06-26,Bawang Merah,34600.0
2026-06-27,Bawang Merah,34100.0
2026-06-28,Bawang Merah,34400.0
2026-06-29,Bawang Merah,34500.0
2026-06-30,Bawang Merah,33800.0
2026-07-01,Bawang Merah,34300.0
2026-07-02,Bawang Merah,33300.0
2026-07-03,Bawang Merah,33800.0
2026-07-04,Bawang Merah,33700.0
2026-07-05,Bawang Merah,33700.0
2026-07-06,Bawang Merah,33500.0
2026-07-07,Bawang Merah,33900.0
2026-07-08,Bawang Merah,34100.0
2026-07-09,Bawang Merah,33500.0
2026-07-10,Bawang Merah,34600.0
2026-07-11,Bawang Merah,34600.0
2026-07-12,Bawang Merah,34600.0
2026-07-13,Bawang Merah,33700.0
2026-07-14,Bawang Merah,340.0
2026-07-15,Bawang Merah,33700.0
2026-07-16,Bawang Merah,34300.0
2026-07-17,Bawang Merah,33800.0
2026-07-18,Bawang Merah,33800.0
2026-07-19,Bawang Merah,34600.0
2026-07-20,Bawang Merah,34600.0
2026-07-21,Bawang Merah,33500.0
2026-07-22,Bawang Merah,34600.0
2026-07-23,Bawang Merah,34700.0
2026-07-24,Bawang Merah,34500.0
2026-06-25,Beras,14800.0
2026-06-26,Beras,14700.0
2026-06-27,Beras,14700.0
2026-06-28,Beras,14700.0
2026-06-29,Beras,14400.0
2026-06-30,Beras,14200.0
2026-07-01,Beras,14500.0
2026-07-02,Beras,14800.0
2026-07-03,Beras,14700.0
2026-07-04,Beras,14700.0
2026-07-05,Beras,14700.0
2026-07-06,Beras,14200.0
2026-07-07,Beras,14300.0
2026-07-08,Beras,14400.0
2026-07-09,Beras,14300.0
2026-07-10,Beras,14500.0
2026-07-11,Beras,14500.0
2026-07-12,Beras,14500.0
2026-07-13,Beras,14700.0
2026-07-14,Beras,14800.0
2026-07-15,Beras,14700.0
2026-07-16,Beras,14700.0
2026-07-17,Beras,14500.0
2026-07-18,Beras,14400.0
2026-07-19,Beras,14400.0
2026-07-20,Beras,14400.0
2026-07-21,Beras,14700.0
2026-07-22,Beras,14600.0
2026-07-23,Beras,14700.0
2026-07-24,Beras,14400.0
2026-06-25,Cabai Merah,41700.0
2026-06-26,Cabai Merah,42200.0
2026-06-27,Cabai Merah,42200.0
2026-06-28,Cabai Merah,42200.0
2026-06-29,Cabai Merah,41800.0
2026-06-30,Cabai Merah,42200.0
2026-07-01,Cabai Merah,41400.0
2026-07-02,Cabai Merah,41700.0
2026-07-03,Cabai Merah,42600.0
2026-07-04,Cabai Merah,42200.0
2026-07-05,Cabai Merah,42200.0
2026-07-06,Cabai Merah,42500.0
2026-07-07,Cabai Merah,42400.0
2026-07-08,Cabai Merah,420.0
2026-07-09,Cabai Merah,42700.0
2026-07-10,Cabai Merah,41200.0
2026-07-11,Cabai Merah,41200.0
2026-07-12,Cabai Merah,41300.0
2026-07-13,Cabai Merah,41300.0
2026-07-14,Cabai Merah,42600.0
2026-07-15,Cabai Merah,42300.0
2026-07-16,Cabai Merah,42700.0
2026-07-17,Cabai Merah,41700.0
2026-07-18,Cabai Merah,41700.0
2026-07-19,Cabai Merah,41700.0
2026-07-20,Cabai Merah,42500.0
2026-07-21,Cabai Merah,41400.0
2026-07-22,Cabai Merah,41900.0
2026-07-23,Cabai Merah,41700.0
2026-07-24,Cabai Merah,420.0
